DivisionNm,HoverTPPDetailedBr,HoverTPPDetailedstring
CALLIDE,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: CALLIDE<br>Winner: Liberal National Party of Queensland (Colin, BOYCE)<br>Number of Candidates: 5<br>Number of Formal Votes: 29,920<br>Number of Informal Votes: 887 (2.96%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>GRN:     3.83%     1,147<br>ALP:     24.94%     7,463<br>LNP:     55.51%     16,608<br>IND:     8.17%     2,444<br>IND:     4.58%     1,371<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>GRN:     3.95%     1,147<br>ALP:     25.71%     7,463<br>LNP:     57.2%     16,608<br>IND:     8.42%     2,444<br>IND:     4.72%     1,371<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 1147 GRN<br>(There was a margin of 112 (0.37%) votes between GRN and IND)<br>------------------------------------------------------------<br>GRN -> ALP:     54.23%     622<br>GRN -> LNP:     18.74%     215<br>GRN -> IND:     14.47%     166<br>GRN -> IND:     12.55%     144<br>ALP:     27.85%     8,085<br>LNP:     57.94%     16,823<br>IND:     8.99%     2,610<br>IND:     5.22%     1,515<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 1515 IND<br>(There was a margin of 547 (1.83%) votes between IND and IND)<br>------------------------------------------------------------<br>IND -> ALP:     10.89%     165<br>IND -> LNP:     17.95%     272<br>IND -> IND:     71.16%     1,078<br>ALP:     28.42%     8,250<br>LNP:     58.88%     17,095<br>IND:     12.7%     3,688<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 3688 IND<br>(There was a margin of 2,281 (7.62%) votes between IND and ALP)<br>------------------------------------------------------------<br>IND -> ALP:     45.31%     1,671<br>IND -> LNP:     54.69%     2,017<br>------------------------------------------------------------<br>ALP:     34.17%     9,921<br>LNP:     65.83%     19,112<br>The winner is LNP with a margin of 4,595 (15.36%) votes over ALP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: CALLIDE
Winner: Liberal National Party of Queensland (Colin, BOYCE)
Number of Candidates: 5
Number of Formal Votes: 29,920
Number of Informal Votes: 887 (2.96%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
GRN:     3.83%     1,147
ALP:     24.94%     7,463
LNP:     55.51%     16,608
IND:     8.17%     2,444
IND:     4.58%     1,371
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
GRN:     3.95%     1,147
ALP:     25.71%     7,463
LNP:     57.2%     16,608
IND:     8.42%     2,444
IND:     4.72%     1,371
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 1147 GRN
(There was a margin of 112 (0.37%) votes between GRN and IND)
------------------------------------------------------------
GRN -> ALP:     54.23%     622
GRN -> LNP:     18.74%     215
GRN -> IND:     14.47%     166
GRN -> IND:     12.55%     144
ALP:     27.85%     8,085
LNP:     57.94%     16,823
IND:     8.99%     2,610
IND:     5.22%     1,515
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 1515 IND
(There was a margin of 547 (1.83%) votes between IND and IND)
------------------------------------------------------------
IND -> ALP:     10.89%     165
IND -> LNP:     17.95%     272
IND -> IND:     71.16%     1,078
ALP:     28.42%     8,250
LNP:     58.88%     17,095
IND:     12.7%     3,688
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 3688 IND
(There was a margin of 2,281 (7.62%) votes between IND and ALP)
------------------------------------------------------------
IND -> ALP:     45.31%     1,671
IND -> LNP:     54.69%     2,017
------------------------------------------------------------
ALP:     34.17%     9,921
LNP:     65.83%     19,112
The winner is LNP with a margin of 4,595 (15.36%) votes over ALP
"
CALOUNDRA,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: CALOUNDRA<br>Winner: Australian Labor Party (State of Queensland) (Jason, HUNT)<br>Number of Candidates: 8<br>Number of Formal Votes: 33,946<br>Number of Informal Votes: 1,497 (4.41%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>GRN:     9.67%     3,281<br>IND:     0.72%     245<br>IMOP:     2.31%     783<br>ONP:     5.91%     2,007<br>IND:     0.7%     238<br>LNP:     36.04%     12,234<br>UAP:     0.75%     255<br>ALP:     39.49%     13,406<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>GRN:     13.34%     4,328<br>LNP:     42.84%     13,901<br>ALP:     43.82%     14,220<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 4328 GRN<br>(There was a margin of 4,786 (14.1%) votes between GRN and LNP)<br>------------------------------------------------------------<br>GRN -> LNP:     34.84%     1,508<br>GRN -> ALP:     65.16%     2,820<br>------------------------------------------------------------<br>LNP:     47.49%     15,409<br>ALP:     52.51%     17,040<br>The winner is ALP with a margin of 815 (2.4%) votes over LNP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: CALOUNDRA
Winner: Australian Labor Party (State of Queensland) (Jason, HUNT)
Number of Candidates: 8
Number of Formal Votes: 33,946
Number of Informal Votes: 1,497 (4.41%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
GRN:     9.67%     3,281
IND:     0.72%     245
IMOP:     2.31%     783
ONP:     5.91%     2,007
IND:     0.7%     238
LNP:     36.04%     12,234
UAP:     0.75%     255
ALP:     39.49%     13,406
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
GRN:     13.34%     4,328
LNP:     42.84%     13,901
ALP:     43.82%     14,220
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 4328 GRN
(There was a margin of 4,786 (14.1%) votes between GRN and LNP)
------------------------------------------------------------
GRN -> LNP:     34.84%     1,508
GRN -> ALP:     65.16%     2,820
------------------------------------------------------------
LNP:     47.49%     15,409
ALP:     52.51%     17,040
The winner is ALP with a margin of 815 (2.4%) votes over LNP
"
CAPALABA,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: CAPALABA<br>Winner: Australian Labor Party (State of Queensland) (Don, BROWN)<br>Number of Candidates: 7<br>Number of Formal Votes: 32,693<br>Number of Informal Votes: 1,246 (3.81%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>ALP:     46.37%     15,160<br>GRN:     7.65%     2,500<br>IMOP:     1.62%     530<br>ONP:     4.99%     1,631<br>CLMP:     0.77%     252<br>LNP:     29.73%     9,719<br>IND:     5.06%     1,655<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>ALP:     51.57%     16,217<br>GRN:     11.16%     3,510<br>LNP:     37.27%     11,720<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 3510 GRN<br>(There was a margin of 4,105 (12.56%) votes between GRN and LNP)<br>------------------------------------------------------------<br>GRN -> ALP:     73.79%     2,590<br>GRN -> LNP:     26.21%     920<br>------------------------------------------------------------<br>ALP:     59.81%     18,807<br>LNP:     40.19%     12,640<br>The winner is ALP with a margin of 3,083 (9.43%) votes over LNP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: CAPALABA
Winner: Australian Labor Party (State of Queensland) (Don, BROWN)
Number of Candidates: 7
Number of Formal Votes: 32,693
Number of Informal Votes: 1,246 (3.81%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
ALP:     46.37%     15,160
GRN:     7.65%     2,500
IMOP:     1.62%     530
ONP:     4.99%     1,631
CLMP:     0.77%     252
LNP:     29.73%     9,719
IND:     5.06%     1,655
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
ALP:     51.57%     16,217
GRN:     11.16%     3,510
LNP:     37.27%     11,720
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 3510 GRN
(There was a margin of 4,105 (12.56%) votes between GRN and LNP)
------------------------------------------------------------
GRN -> ALP:     73.79%     2,590
GRN -> LNP:     26.21%     920
------------------------------------------------------------
ALP:     59.81%     18,807
LNP:     40.19%     12,640
The winner is ALP with a margin of 3,083 (9.43%) votes over LNP
"
CHATSWORTH,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: CHATSWORTH<br>Winner: Liberal National Party of Queensland (Steve, MINNIKIN)<br>Number of Candidates: 6<br>Number of Formal Votes: 32,370<br>Number of Informal Votes: 800 (2.47%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>ONP:     2.98%     965<br>IMOP:     1.12%     362<br>ALP:     38.61%     12,497<br>LNP:     45.15%     14,614<br>UAP:     0.59%     191<br>GRN:     9.09%     2,941<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>ALP:     40.9%     12,913<br>LNP:     48.85%     15,421<br>GRN:     10.25%     3,236<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 3236 GRN<br>(There was a margin of 4,838 (14.95%) votes between GRN and ALP)<br>------------------------------------------------------------<br>GRN -> ALP:     76.21%     2,466<br>GRN -> LNP:     23.79%     770<br>------------------------------------------------------------<br>ALP:     48.71%     15,379<br>LNP:     51.29%     16,191<br>The winner is LNP with a margin of 406 (1.25%) votes over ALP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: CHATSWORTH
Winner: Liberal National Party of Queensland (Steve, MINNIKIN)
Number of Candidates: 6
Number of Formal Votes: 32,370
Number of Informal Votes: 800 (2.47%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
ONP:     2.98%     965
IMOP:     1.12%     362
ALP:     38.61%     12,497
LNP:     45.15%     14,614
UAP:     0.59%     191
GRN:     9.09%     2,941
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
ALP:     40.9%     12,913
LNP:     48.85%     15,421
GRN:     10.25%     3,236
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 3236 GRN
(There was a margin of 4,838 (14.95%) votes between GRN and ALP)
------------------------------------------------------------
GRN -> ALP:     76.21%     2,466
GRN -> LNP:     23.79%     770
------------------------------------------------------------
ALP:     48.71%     15,379
LNP:     51.29%     16,191
The winner is LNP with a margin of 406 (1.25%) votes over ALP
"
CLAYFIELD,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: CLAYFIELD<br>Winner: Liberal National Party of Queensland (Tim, NICHOLLS)<br>Number of Candidates: 6<br>Number of Formal Votes: 35,536<br>Number of Informal Votes: 719 (2.02%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>LNP:     44.97%     15,979<br>GRN:     17.26%     6,132<br>ALP:     31.4%     11,157<br>CLMP:     0.71%     254<br>IND:     1.35%     478<br>ONP:     2.3%     817<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>LNP:     48.23%     16,793<br>GRN:     18.6%     6,477<br>ALP:     33.16%     11,547<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 6477 GRN<br>(There was a margin of 2,535 (7.13%) votes between GRN and ALP)<br>------------------------------------------------------------<br>GRN -> LNP:     17.85%     1,156<br>GRN -> ALP:     82.15%     5,321<br>------------------------------------------------------------<br>LNP:     51.55%     17,949<br>ALP:     48.45%     16,868<br>The winner is LNP with a margin of 540 (1.52%) votes over ALP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: CLAYFIELD
Winner: Liberal National Party of Queensland (Tim, NICHOLLS)
Number of Candidates: 6
Number of Formal Votes: 35,536
Number of Informal Votes: 719 (2.02%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
LNP:     44.97%     15,979
GRN:     17.26%     6,132
ALP:     31.4%     11,157
CLMP:     0.71%     254
IND:     1.35%     478
ONP:     2.3%     817
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
LNP:     48.23%     16,793
GRN:     18.6%     6,477
ALP:     33.16%     11,547
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 6477 GRN
(There was a margin of 2,535 (7.13%) votes between GRN and ALP)
------------------------------------------------------------
GRN -> LNP:     17.85%     1,156
GRN -> ALP:     82.15%     5,321
------------------------------------------------------------
LNP:     51.55%     17,949
ALP:     48.45%     16,868
The winner is LNP with a margin of 540 (1.52%) votes over ALP
"
CONDAMINE,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: CONDAMINE<br>Winner: Liberal National Party of Queensland (Pat, WEIR)<br>Number of Candidates: 5<br>Number of Formal Votes: 34,774<br>Number of Informal Votes: 993 (2.86%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>GRN:     4.77%     1,659<br>ONP:     15.2%     5,286<br>LNP:     53.1%     18,466<br>ALP:     22.36%     7,775<br>UAP:     1.71%     595<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>GRN:     5.1%     1,722<br>ONP:     16.41%     5,542<br>LNP:     55.09%     18,610<br>ALP:     23.41%     7,907<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 1722 GRN<br>(There was a margin of 1,910 (5.49%) votes between GRN and ONP)<br>------------------------------------------------------------<br>GRN -> ONP:     23.58%     406<br>GRN -> LNP:     22.94%     395<br>GRN -> ALP:     53.48%     921<br>ONP:     17.61%     5,948<br>LNP:     56.26%     19,005<br>ALP:     26.13%     8,828<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 5948 ONP<br>(There was a margin of 1,440 (4.14%) votes between ONP and ALP)<br>------------------------------------------------------------<br>ONP -> LNP:     73.49%     4,371<br>ONP -> ALP:     26.51%     1,577<br>------------------------------------------------------------<br>LNP:     69.2%     23,376<br>ALP:     30.8%     10,405<br>The winner is LNP with a margin of 6,485 (18.65%) votes over ALP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: CONDAMINE
Winner: Liberal National Party of Queensland (Pat, WEIR)
Number of Candidates: 5
Number of Formal Votes: 34,774
Number of Informal Votes: 993 (2.86%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
GRN:     4.77%     1,659
ONP:     15.2%     5,286
LNP:     53.1%     18,466
ALP:     22.36%     7,775
UAP:     1.71%     595
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
GRN:     5.1%     1,722
ONP:     16.41%     5,542
LNP:     55.09%     18,610
ALP:     23.41%     7,907
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 1722 GRN
(There was a margin of 1,910 (5.49%) votes between GRN and ONP)
------------------------------------------------------------
GRN -> ONP:     23.58%     406
GRN -> LNP:     22.94%     395
GRN -> ALP:     53.48%     921
ONP:     17.61%     5,948
LNP:     56.26%     19,005
ALP:     26.13%     8,828
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 5948 ONP
(There was a margin of 1,440 (4.14%) votes between ONP and ALP)
------------------------------------------------------------
ONP -> LNP:     73.49%     4,371
ONP -> ALP:     26.51%     1,577
------------------------------------------------------------
LNP:     69.2%     23,376
ALP:     30.8%     10,405
The winner is LNP with a margin of 6,485 (18.65%) votes over ALP
"
COOK,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: COOK<br>Winner: Australian Labor Party (State of Queensland) (Cynthia, LUI)<br>Number of Candidates: 8<br>Number of Formal Votes: 27,060<br>Number of Informal Votes: 1,167 (4.31%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>IND:     3.7%     1,000<br>LNP:     23.06%     6,241<br>NQF:     2.31%     624<br>ONP:     6.35%     1,717<br>GRN:     4.83%     1,306<br>KAP:     16.47%     4,458<br>ALP:     38.3%     10,363<br>UAP:     0.68%     184<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>LNP:     26.59%     6,884<br>ONP:     7.41%     1,918<br>GRN:     5.73%     1,484<br>KAP:     18.48%     4,784<br>ALP:     41.8%     10,823<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 1484 GRN<br>(There was a margin of 217 (0.8%) votes between GRN and ONP)<br>------------------------------------------------------------<br>GRN -> LNP:     13.34%     198<br>GRN -> ONP:     8.69%     129<br>GRN -> KAP:     13.54%     201<br>GRN -> ALP:     64.42%     956<br>LNP:     27.35%     7,082<br>ONP:     7.91%     2,047<br>KAP:     19.25%     4,985<br>ALP:     45.49%     11,779<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 2047 ONP<br>(There was a margin of 1,469 (5.43%) votes between ONP and KAP)<br>------------------------------------------------------------<br>ONP -> LNP:     33.76%     691<br>ONP -> KAP:     51.49%     1,054<br>ONP -> ALP:     14.75%     302<br>LNP:     30.02%     7,773<br>KAP:     23.32%     6,039<br>ALP:     46.66%     12,081<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 6039 KAP<br>(There was a margin of 867 (3.2%) votes between KAP and LNP)<br>------------------------------------------------------------<br>KAP -> LNP:     58.83%     3,553<br>KAP -> ALP:     41.17%     2,486<br>------------------------------------------------------------<br>LNP:     43.74%     11,326<br>ALP:     56.26%     14,567<br>The winner is ALP with a margin of 1,620 (5.99%) votes over LNP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: COOK
Winner: Australian Labor Party (State of Queensland) (Cynthia, LUI)
Number of Candidates: 8
Number of Formal Votes: 27,060
Number of Informal Votes: 1,167 (4.31%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
IND:     3.7%     1,000
LNP:     23.06%     6,241
NQF:     2.31%     624
ONP:     6.35%     1,717
GRN:     4.83%     1,306
KAP:     16.47%     4,458
ALP:     38.3%     10,363
UAP:     0.68%     184
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
LNP:     26.59%     6,884
ONP:     7.41%     1,918
GRN:     5.73%     1,484
KAP:     18.48%     4,784
ALP:     41.8%     10,823
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 1484 GRN
(There was a margin of 217 (0.8%) votes between GRN and ONP)
------------------------------------------------------------
GRN -> LNP:     13.34%     198
GRN -> ONP:     8.69%     129
GRN -> KAP:     13.54%     201
GRN -> ALP:     64.42%     956
LNP:     27.35%     7,082
ONP:     7.91%     2,047
KAP:     19.25%     4,985
ALP:     45.49%     11,779
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 2047 ONP
(There was a margin of 1,469 (5.43%) votes between ONP and KAP)
------------------------------------------------------------
ONP -> LNP:     33.76%     691
ONP -> KAP:     51.49%     1,054
ONP -> ALP:     14.75%     302
LNP:     30.02%     7,773
KAP:     23.32%     6,039
ALP:     46.66%     12,081
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 6039 KAP
(There was a margin of 867 (3.2%) votes between KAP and LNP)
------------------------------------------------------------
KAP -> LNP:     58.83%     3,553
KAP -> ALP:     41.17%     2,486
------------------------------------------------------------
LNP:     43.74%     11,326
ALP:     56.26%     14,567
The winner is ALP with a margin of 1,620 (5.99%) votes over LNP
"
COOMERA,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: COOMERA<br>Winner: Liberal National Party of Queensland (Michael, CRANDON)<br>Number of Candidates: 8<br>Number of Formal Votes: 38,553<br>Number of Informal Votes: 1,888 (4.9%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>GRN:     7.82%     3,015<br>ALP:     34.52%     13,310<br>UAP:     1.6%     618<br>IMOP:     1.25%     481<br>LNP:     38.01%     14,655<br>AJP:     2.53%     977<br>IND:     1.45%     558<br>ONP:     7.91%     3,051<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>GRN:     10.34%     3,790<br>ALP:     37.76%     13,844<br>LNP:     41.47%     15,205<br>ONP:     10.44%     3,826<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 3790 GRN<br>(There was a margin of 18 (0.05%) votes between GRN and ONP)<br>------------------------------------------------------------<br>GRN -> ALP:     68.23%     2,586<br>GRN -> LNP:     18.47%     700<br>GRN -> ONP:     13.3%     504<br>ALP:     44.81%     16,430<br>LNP:     43.38%     15,905<br>ONP:     11.81%     4,330<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 4330 ONP<br>(There was a margin of 5,787 (15.01%) votes between ONP and LNP)<br>------------------------------------------------------------<br>ONP -> ALP:     34.83%     1,508<br>ONP -> LNP:     65.17%     2,822<br>------------------------------------------------------------<br>ALP:     48.92%     17,938<br>LNP:     51.08%     18,727<br>The winner is LNP with a margin of 394 (1.02%) votes over ALP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: COOMERA
Winner: Liberal National Party of Queensland (Michael, CRANDON)
Number of Candidates: 8
Number of Formal Votes: 38,553
Number of Informal Votes: 1,888 (4.9%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
GRN:     7.82%     3,015
ALP:     34.52%     13,310
UAP:     1.6%     618
IMOP:     1.25%     481
LNP:     38.01%     14,655
AJP:     2.53%     977
IND:     1.45%     558
ONP:     7.91%     3,051
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
GRN:     10.34%     3,790
ALP:     37.76%     13,844
LNP:     41.47%     15,205
ONP:     10.44%     3,826
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 3790 GRN
(There was a margin of 18 (0.05%) votes between GRN and ONP)
------------------------------------------------------------
GRN -> ALP:     68.23%     2,586
GRN -> LNP:     18.47%     700
GRN -> ONP:     13.3%     504
ALP:     44.81%     16,430
LNP:     43.38%     15,905
ONP:     11.81%     4,330
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 4330 ONP
(There was a margin of 5,787 (15.01%) votes between ONP and LNP)
------------------------------------------------------------
ONP -> ALP:     34.83%     1,508
ONP -> LNP:     65.17%     2,822
------------------------------------------------------------
ALP:     48.92%     17,938
LNP:     51.08%     18,727
The winner is LNP with a margin of 394 (1.02%) votes over ALP
"
COOPER,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: COOPER<br>Winner: Australian Labor Party (State of Queensland) (Jonty, BUSH)<br>Number of Candidates: 5<br>Number of Formal Votes: 34,190<br>Number of Informal Votes: 443 (1.3%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>IND:     1.07%     366<br>ONP:     1.72%     587<br>GRN:     29.25%     10,000<br>LNP:     33.01%     11,285<br>ALP:     33.66%     11,509<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>GRN:     30.52%     10,301<br>LNP:     34.9%     11,778<br>ALP:     34.57%     11,668<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 10301 GRN<br>(There was a margin of 683 (2.0%) votes between GRN and ALP)<br>------------------------------------------------------------<br>GRN -> LNP:     15.1%     1,555<br>GRN -> ALP:     84.9%     8,746<br>------------------------------------------------------------<br>LNP:     39.51%     13,333<br>ALP:     60.49%     20,414<br>The winner is ALP with a margin of 3,540 (10.36%) votes over LNP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: COOPER
Winner: Australian Labor Party (State of Queensland) (Jonty, BUSH)
Number of Candidates: 5
Number of Formal Votes: 34,190
Number of Informal Votes: 443 (1.3%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
IND:     1.07%     366
ONP:     1.72%     587
GRN:     29.25%     10,000
LNP:     33.01%     11,285
ALP:     33.66%     11,509
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
GRN:     30.52%     10,301
LNP:     34.9%     11,778
ALP:     34.57%     11,668
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 10301 GRN
(There was a margin of 683 (2.0%) votes between GRN and ALP)
------------------------------------------------------------
GRN -> LNP:     15.1%     1,555
GRN -> ALP:     84.9%     8,746
------------------------------------------------------------
LNP:     39.51%     13,333
ALP:     60.49%     20,414
The winner is ALP with a margin of 3,540 (10.36%) votes over LNP
"
CURRUMBIN,"<br>============================================================<br>          DIVISION INFORMATION<br>------------------------------------------------------------<br>Division Name: CURRUMBIN<br>Winner: Liberal National Party of Queensland (Laura, GERBER)<br>Number of Candidates: 8<br>Number of Formal Votes: 31,170<br>Number of Informal Votes: 1,454 (4.66%)<br>============================================================<br>          PRIMARY VOTES<br>------------------------------------------------------------<br>IND:     3.36%     1,048<br>IND:     5.39%     1,681<br>GRN:     9.41%     2,933<br>ALP:     33.1%     10,317<br>LNP:     38.36%     11,957<br>ONP:     3.83%     1,193<br>UAP:     1.48%     460<br>IND:     0.41%     127<br>============================================================<br>     THREE PARTY PREFERED VOTES<br>------------------------------------------------------------<br>GRN:     13.5%     4,013<br>ALP:     39.46%     11,726<br>LNP:     47.04%     13,977<br>============================================================<br>          PREFERENCE FLOWS<br>============================================================<br>PREFERENCE FLOW FROM DISTRIBUTING: 4013 GRN<br>(There was a margin of 3,856 (12.37%) votes between GRN and ALP)<br>------------------------------------------------------------<br>GRN -> ALP:     74.18%     2,977<br>GRN -> LNP:     25.82%     1,036<br>------------------------------------------------------------<br>ALP:     49.48%     14,703<br>LNP:     50.52%     15,013<br>The winner is LNP with a margin of 155 (0.5%) votes over ALP<br>","
============================================================
          DIVISION INFORMATION
------------------------------------------------------------
Division Name: CURRUMBIN
Winner: Liberal National Party of Queensland (Laura, GERBER)
Number of Candidates: 8
Number of Formal Votes: 31,170
Number of Informal Votes: 1,454 (4.66%)
============================================================
          PRIMARY VOTES
------------------------------------------------------------
IND:     3.36%     1,048
IND:     5.39%     1,681
GRN:     9.41%     2,933
ALP:     33.1%     10,317
LNP:     38.36%     11,957
ONP:     3.83%     1,193
UAP:     1.48%     460
IND:     0.41%     127
============================================================
     THREE PARTY PREFERED VOTES
------------------------------------------------------------
GRN:     13.5%     4,013
ALP:     39.46%     11,726
LNP:     47.04%     13,977
============================================================
          PREFERENCE FLOWS
============================================================
PREFERENCE FLOW FROM DISTRIBUTING: 4013 GRN
(There was a margin of 3,856 (12.37%) votes between GRN and ALP)
------------------------------------------------------------
GRN -> ALP:     74.18%     2,977
GRN -> LNP:     25.82%     1,036
------------------------------------------------------------
ALP:     49.48%     14,703
LNP:     50.52%     15,013
The winner is LNP with a margin of 155 (0.5%) votes over ALP
"
