Ward,GRN Candidate,ALP Candidate,LNP Candidate,GRN Votes,ALP Votes,LNP Votes,IND Votes,Formal Votes,Informal Votes,Number of Candidates,GRN%,ALP%,LNP%,IND%,informal%,Winner,Winner Party,1st Excluded,1 Party Excluded,1GRN,1ALP,1LNP,1IND,1Exhausted,1Distrubuted,1GRN%,1ALP%,1LNP%,1IND%,1exhausted%,2nd Excluded,2 Party Excluded,2GRN,2ALP,2LNP,2IND,2Exhausted,2Distrubuted,2GRN%,2ALP%,2LNP%,2IND%,2exhausted%,3rd Excluded,3 Party Excluded,3GRN,3ALP,3LNP,3IND,3Exhausted,3Distrubuted,3GRN%,3ALP%,3LNP%,3IND%,3exhausted%,TPP1 Party,TPP1 Votes,TPP2 Party,TPP2 Votes,Win Margin,Win Margin %,WARD,Hover Text
Brisbane City Holland Park,"GAMBLE, Jenny","AUGUSTON, Karleigh","ADAMS, Krista",4975,7323,11553,0,23851,580,3,20.86,30.7,48.44,0.0,2.37,"ADAMS, Krista Mary",LNP,"GAMBLE, Jenny",GRN,0,2601,439,0,1935,3040,0.0,85.56,14.44,0.0,38.89,,,,,,,,,,,,,,,,,,,,,,,,,,,ALP,9924,LNP,11992,1034.0,4.72,MCDOWALL,"<br><br>WARD INFO<br>Ward: Brisbane City Holland Park<br>Winner: ADAMS, Krista Mary (LNP)<br>Number of Candidates: 3<br>Formal Votes: 23851<br>Informal: 580 (2.37%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 4975 (20.86%)<br>ALP: 7323 (30.7%)<br>LNP: 11553 (48.44%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: GAMBLE, Jenny (GRN)<br>Distributed: 3040<br>Exhausted: 1935 (38.89%)<br>GRN: 0 (0.0%)<br>ALP: 2601 (85.56%)<br>LNP: 439 (14.44%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>ALPVotes: 9924 (45.28%)<br>LNPVotes: 11992 (54.72%)<br>Win Margin: 1034.0 (4.72%)<br>"
Brisbane City Jamboree,"MCKIE, Thomas","HOPPE, Rachel","HUTTON, Sarah",3039,7996,13455,0,24490,750,3,12.41,32.65,54.94,0.0,2.97,"HUTTON, Sarah Mary",LNP,"MCKIE, Thomas",GRN,0,1446,309,0,1284,1755,0.0,82.39,17.61,0.0,42.25,,,,,,,,,,,,,,,,,,,,,,,,,,,LNP,13764,ALP,9442,2161.0,9.31,MACGREGOR,"<br><br>WARD INFO<br>Ward: Brisbane City Jamboree<br>Winner: HUTTON, Sarah Mary (LNP)<br>Number of Candidates: 3<br>Formal Votes: 24490<br>Informal: 750 (2.97%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 3039 (12.41%)<br>ALP: 7996 (32.65%)<br>LNP: 13455 (54.94%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: MCKIE, Thomas (GRN)<br>Distributed: 1755<br>Exhausted: 1284 (42.25%)<br>GRN: 0 (0.0%)<br>ALP: 1446 (82.39%)<br>LNP: 309 (17.61%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>LNPVotes: 13764 (59.31%)<br>ALPVotes: 9442 (40.69%)<br>Win Margin: 2161.0 (9.31%)<br>"
Brisbane City McDowall,"SANDERSON, Joshua","CULVERHOUSE, Liam","DAVIS, Tracy",2754,7380,14693,0,24827,580,3,11.09,29.73,59.18,0.0,2.28,"DAVIS, Tracy Ellen",LNP,"SANDERSON, Joshua",GRN,0,1231,313,0,1210,1544,0.0,79.73,20.27,0.0,43.94,,,,,,,,,,,,,,,,,,,,,,,,,,,ALP,8611,LNP,15006,3197.5,13.54,MOOROOKA,"<br><br>WARD INFO<br>Ward: Brisbane City McDowall<br>Winner: DAVIS, Tracy Ellen (LNP)<br>Number of Candidates: 3<br>Formal Votes: 24827<br>Informal: 580 (2.28%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 2754 (11.09%)<br>ALP: 7380 (29.73%)<br>LNP: 14693 (59.18%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: SANDERSON, Joshua (GRN)<br>Distributed: 1544<br>Exhausted: 1210 (43.94%)<br>GRN: 0 (0.0%)<br>ALP: 1231 (79.73%)<br>LNP: 313 (20.27%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>ALPVotes: 8611 (36.46%)<br>LNPVotes: 15006 (63.54%)<br>Win Margin: 3197.5 (13.54%)<br>"
Brisbane City MacGregor,"WOMERSLEY, Sean","MCTIERNAN, Trent","HUANG, Steven",2666,6460,13345,0,22471,630,3,11.86,28.75,59.39,0.0,2.73,"HUANG, Wen-Yi Steven",LNP,"WOMERSLEY, Sean",GRN,0,1143,243,0,1280,1386,0.0,82.47,17.53,0.0,48.01,,,,,,,,,,,,,,,,,,,,,,,,,,,ALP,7603,LNP,13588,2992.5,14.12,NORTHGATE,"<br><br>WARD INFO<br>Ward: Brisbane City MacGregor<br>Winner: HUANG, Wen-Yi Steven (LNP)<br>Number of Candidates: 3<br>Formal Votes: 22471<br>Informal: 630 (2.73%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 2666 (11.86%)<br>ALP: 6460 (28.75%)<br>LNP: 13345 (59.39%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: WOMERSLEY, Sean (GRN)<br>Distributed: 1386<br>Exhausted: 1280 (48.01%)<br>GRN: 0 (0.0%)<br>ALP: 1143 (82.47%)<br>LNP: 243 (17.53%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>ALPVotes: 7603 (35.88%)<br>LNPVotes: 13588 (64.12%)<br>Win Margin: 2992.5 (14.12%)<br>"
Brisbane City Marchant,"MEYER, John","LYNCH, Susan","HAMMOND, Fiona",4331,7842,11870,0,24043,676,3,18.01,32.62,49.37,0.0,2.73,"HAMMOND, Fiona Ann",LNP,"MEYER, John",GRN,0,2241,445,0,1645,2686,0.0,83.43,16.57,0.0,37.98,,,,,,,,,,,,,,,,,,,,,,,,,,,ALP,10083,LNP,12315,1116.0,4.98,ENOGGERA,"<br><br>WARD INFO<br>Ward: Brisbane City Marchant<br>Winner: HAMMOND, Fiona Ann (LNP)<br>Number of Candidates: 3<br>Formal Votes: 24043<br>Informal: 676 (2.73%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 4331 (18.01%)<br>ALP: 7842 (32.62%)<br>LNP: 11870 (49.37%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: MEYER, John (GRN)<br>Distributed: 2686<br>Exhausted: 1645 (37.98%)<br>GRN: 0 (0.0%)<br>ALP: 2241 (83.43%)<br>LNP: 445 (16.57%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>ALPVotes: 10083 (45.02%)<br>LNPVotes: 12315 (54.98%)<br>Win Margin: 1116.0 (4.98%)<br>"
Brisbane City Moorooka,"GARTON, Claire","GRIFFITHS, Steve","CRAZE, Warren",4209,10416,5234,1000,20859,727,4,20.18,49.94,25.09,4.79,3.37,"GRIFFITHS, Stephen",ALP,"GILLESPIE, Brett",IND,121,153,120,0,606,394,30.71,38.83,30.46,0.0,60.6,"GARTON, Claire",GRN,0,2268,267,0,1795,2535,0.0,89.47,10.53,0.0,41.45,,,,,,,,,,,,,,ALP,12837,LNP,5621,3608.0,19.55,HOLLAND PARK,"<br><br>WARD INFO<br>Ward: Brisbane City Moorooka<br>Winner: GRIFFITHS, Stephen (ALP)<br>Number of Candidates: 4<br>Formal Votes: 20859<br>Informal: 727 (3.37%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 4209 (20.18%)<br>ALP: 10416 (49.94%)<br>LNP: 5234 (25.09%)<br>IND: 1000 (4.79%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: GILLESPIE, Brett (IND)<br>Distributed: 394<br>Exhausted: 606 (60.6%)<br>GRN: 121 (30.71%)<br>ALP: 153 (38.83%)<br>LNP: 120 (30.46%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 2<br>Excluded: GARTON, Claire (GRN)<br>Distributed: 2535<br>Exhausted: 1795 (41.45%)<br>GRN: 0 (0.0%)<br>ALP: 2268 (89.47%)<br>LNP: 267 (10.53%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>ALPVotes: 12837 (69.55%)<br>LNPVotes: 5621 (30.45%)<br>Win Margin: 3608.0 (19.55%)<br>"
Brisbane City Morningside,"KUELSEN, Rolf","COOK, Kara","MOORE, Toby",3390,10677,8242,0,22309,445,3,15.2,47.86,36.94,0.0,1.96,"COOK, Kara May George",ALP,"KUELSEN, Rolf",GRN,0,1866,240,0,1284,2106,0.0,88.6,11.4,0.0,37.88,,,,,,,,,,,,,,,,,,,,,,,,,,,LNP,8482,ALP,12543,2030.5,9.66,MARCHANT,"<br><br>WARD INFO<br>Ward: Brisbane City Morningside<br>Winner: COOK, Kara May George (ALP)<br>Number of Candidates: 3<br>Formal Votes: 22309<br>Informal: 445 (1.96%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 3390 (15.2%)<br>ALP: 10677 (47.86%)<br>LNP: 8242 (36.94%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: KUELSEN, Rolf (GRN)<br>Distributed: 2106<br>Exhausted: 1284 (37.88%)<br>GRN: 0 (0.0%)<br>ALP: 1866 (88.6%)<br>LNP: 240 (11.4%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>LNPVotes: 8482 (40.34%)<br>ALPVotes: 12543 (59.66%)<br>Win Margin: 2030.5 (9.66%)<br>"
Brisbane City Northgate,"DAVIES, Jim","NEIL, Reg","ALLAN, Adam",4106,8810,11315,0,24231,666,3,16.95,36.36,46.7,0.0,2.68,"ALLAN, Adam Lindley",LNP,"DAVIES, Jim",GRN,0,2101,435,0,1570,2536,0.0,82.85,17.15,0.0,38.24,,,,,,,,,,,,,,,,,,,,,,,,,,,ALP,10911,LNP,11750,419.5,1.85,MORNINGSIDE,"<br><br>WARD INFO<br>Ward: Brisbane City Northgate<br>Winner: ALLAN, Adam Lindley (LNP)<br>Number of Candidates: 3<br>Formal Votes: 24231<br>Informal: 666 (2.68%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 4106 (16.95%)<br>ALP: 8810 (36.36%)<br>LNP: 11315 (46.7%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: DAVIES, Jim (GRN)<br>Distributed: 2536<br>Exhausted: 1570 (38.24%)<br>GRN: 0 (0.0%)<br>ALP: 2101 (82.85%)<br>LNP: 435 (17.15%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>ALPVotes: 10911 (48.15%)<br>LNPVotes: 11750 (51.85%)<br>Win Margin: 419.5 (1.85%)<br>"
Brisbane City Paddington,"BURNS, Donna","EELKEMA, Jeff","MATIC, Peter",8984,3775,10629,0,23388,347,3,38.41,16.14,45.45,0.0,1.46,"MATIC, Peter Nebojsa",LNP,"EELKEMA, Jeff",ALP,1769,0,435,0,1571,2204,80.26,0.0,19.74,0.0,41.62,,,,,,,,,,,,,,,,,,,,,,,,,,,GRN,10753,LNP,11064,155.5,0.71,PADDINGTON,"<br><br>WARD INFO<br>Ward: Brisbane City Paddington<br>Winner: MATIC, Peter Nebojsa (LNP)<br>Number of Candidates: 3<br>Formal Votes: 23388<br>Informal: 347 (1.46%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 8984 (38.41%)<br>ALP: 3775 (16.14%)<br>LNP: 10629 (45.45%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: EELKEMA, Jeff (ALP)<br>Distributed: 2204<br>Exhausted: 1571 (41.62%)<br>GRN: 1769 (80.26%)<br>ALP: 0 (0.0%)<br>LNP: 435 (19.74%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>GRNVotes: 10753 (49.29%)<br>LNPVotes: 11064 (50.71%)<br>Win Margin: 155.5 (0.71%)<br>"
Brisbane City Pullenvale,"DRUCKMANN, Charles","MARK, Jordan","ADERMANN, Greg",6252,3643,10686,5060,25641,618,4,24.38,14.21,41.68,19.73,2.35,"ADERMANN, Gregory Charles",LNP,"MARK, Jordan",ALP,1015,0,297,336,1995,1648,61.59,0.0,18.02,20.39,54.76,"RICHARDS, Kate",IND,813,0,1103,0,3480,1916,42.43,0.0,57.57,0.0,64.49,,,,,,,,,,,,,,LNP,12086,GRN,8080,2003.0,9.93,PULLENVALE,"<br><br>WARD INFO<br>Ward: Brisbane City Pullenvale<br>Winner: ADERMANN, Gregory Charles (LNP)<br>Number of Candidates: 4<br>Formal Votes: 25641<br>Informal: 618 (2.35%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 6252 (24.38%)<br>ALP: 3643 (14.21%)<br>LNP: 10686 (41.68%)<br>IND: 5060 (19.73%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: MARK, Jordan (ALP)<br>Distributed: 1648<br>Exhausted: 1995 (54.76%)<br>GRN: 1015 (61.59%)<br>ALP: 0 (0.0%)<br>LNP: 297 (18.02%)<br>IND: 336 (20.39%)<br>------------------------<br>PREFERENCE FLOW 2<br>Excluded: RICHARDS, Kate (IND)<br>Distributed: 1916<br>Exhausted: 3480 (64.49%)<br>GRN: 813 (42.43%)<br>ALP: 0 (0.0%)<br>LNP: 1103 (57.57%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>LNPVotes: 12086 (59.93%)<br>GRNVotes: 8080 (40.07%)<br>Win Margin: 2003.0 (9.93%)<br>"
